matrix_group,scale,instance_id,solver_backend,certificate_family,algorithm_status,certificate_scope,product_oracle_exact_optimal,has_feasible_incumbent,objective,model_objective,bound,gap,solver_info_valid,solver_info_objective_function_value,solver_info_mip_dual_bound,solver_info_mip_gap,solver_info_mip_node_count,solver_info_simplex_iteration_count,solver_info_ipm_iteration_count,solver_info_pdlp_iteration_count,solver_info_primal_solution_status,solver_info_dual_solution_status,solver_info_max_primal_infeasibility,solver_info_max_dual_infeasibility,solver_info_max_integrality_violation,solver_info_primal_dual_integral,journey_count,wall_time_sec,row_elapsed_sec,time_limit_sec,threads,mip_gap,use_reference_warm_start,mip_start_enabled,mip_start_status,mip_start_source,mip_start_objective,mip_start_sortie_count,mip_start_entry_count,mip_start_note,variable_count,constraint_count,binary_arc_var_count,task_assignment_var_count,vehicle_count,sortie_slots_per_vehicle,path_option_policy,note,fail_closed_reason,attempted_exception_type,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective
30-scale compact product oracle probe,30,lunar_ice_sp50_030_011_seed929011,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.69277,1.692770199,,,,,,,,,,,,,,,,,4,62.808074,62.842065,60.0,1,0.0,True,True,OK,instance_reference_solution,1.695311,10,360,instance_reference_solution warm start was passed to HiGHS.,276240,288022,268560,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7650.507633,261.381787423,8778.565171441,1680.0,False,4857.522404,170.890835,8867.32283,1057.671572,8575.342371,0.634928117,0.65379779,1.010110725,0.629566412,1.69277,1.69277,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_012_seed929012,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.868265,1.86826497,,,,,,,,,,,,,,,,,4,62.22077,62.267798,60.0,1,0.0,True,True,OK,instance_reference_solution,1.870855,12,366,instance_reference_solution warm start was passed to HiGHS.,271200,282982,263520,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7743.646512,281.993382541,10983.467924731,1680.0,False,5662.855353,207.146007,11049.283524,1132.975422,10289.71477,0.731290529,0.734577546,1.005992242,0.674390132,1.868265,1.868265,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_013_seed929013,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.753119,1.753118642,,,,,,,,,,,,,,,,,4,62.261708,62.308192,60.0,1,0.0,True,True,OK,instance_reference_solution,1.75578,10,360,instance_reference_solution warm start was passed to HiGHS.,275160,286942,267480,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7496.690571,257.172232279,9372.33389555,1680.0,False,5053.38645,173.71384,9455.740155,1045.082437,9009.396352,0.674082304,0.675476658,1.008899198,0.622072879,1.753119,1.753119,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_014_seed929014,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.830665,1.830665558,,,,,,,,,,,,,,,,,4,62.47658,62.539364,60.0,1,0.0,True,True,OK,instance_reference_solution,1.834012,11,363,instance_reference_solution warm start was passed to HiGHS.,282720,294502,275040,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7314.874229,262.923269213,10484.218260189,1680.0,False,5227.954161,187.339949,10574.294205,1125.932286,9645.011792,0.714701852,0.712527079,1.008591575,0.670197789,1.830666,1.830665,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_015_seed929015,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.949781,1.949780606,,,,,,,,,,,,,,,,,4,62.484381,62.544679,60.0,1,0.0,True,True,OK,instance_reference_solution,1.953922,14,372,instance_reference_solution warm start was passed to HiGHS.,278040,289822,270360,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7823.984834,272.249141422,12175.739582409,1680.0,False,6217.103302,205.10093,12230.592351,1185.65216,11314.441172,0.794621083,0.753357491,1.004505087,0.705745333,1.949781,1.949781,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_016_seed929016,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,2.066658,2.066657849,,,,,,,,,,,,,,,,,4,62.287154,62.352104,60.0,1,0.0,True,True,OK,instance_reference_solution,2.070508,14,372,instance_reference_solution warm start was passed to HiGHS.,273840,285622,266160,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7646.585368,265.808137284,12000.208822997,1680.0,False,6367.180871,220.765716,12103.09818,1286.635038,11429.185859,0.832682899,0.830545363,1.008573964,0.765854189,2.066658,2.066658,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_017_seed929017,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.87809,1.878089902,,,,,,,,,,,,,,,,,4,62.918921,62.983311,60.0,1,0.0,True,True,OK,instance_reference_solution,1.882499,13,369,instance_reference_solution warm start was passed to HiGHS.,274920,286702,267240,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7597.174117,277.312963862,11866.936369862,1680.0,False,5483.807632,209.378753,11903.752172,1183.214179,10454.687254,0.721822028,0.75502692,1.003102385,0.704294154,1.87809,1.87809,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_018_seed929018,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,1.828577,1.828576715,,,,,,,,,,,,,,,,,4,62.358619,62.424244,60.0,1,0.0,True,True,OK,instance_reference_solution,1.832718,13,369,instance_reference_solution warm start was passed to HiGHS.,274200,285982,266520,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7919.524583,289.312520666,11613.752796496,1680.0,False,5614.694411,207.790978,11653.961049,1167.785205,10484.069809,0.70896862,0.718223247,1.003462124,0.695110241,1.828577,1.828577,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_019_seed929019,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,2.108857,2.108856304,,,,,,,,,,,,,,,,,4,62.136246,62.192748,60.0,1,0.0,True,True,OK,instance_reference_solution,2.11291,14,372,instance_reference_solution warm start was passed to HiGHS.,267960,279742,260280,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7259.485319,261.73717096,12583.297366755,1680.0,False,6175.707437,224.160308,12637.240652,1388.133634,11454.764006,0.850708716,0.856432837,1.004286896,0.82627002,2.108856,2.108857,False
30-scale compact product oracle probe,30,lunar_ice_sp50_030_020_seed929020,HiGHS compact MILP,PRODUCT_ORACLE_NOT_BPC,HIGHS_COMPACT_TIME_LIMIT_REACHED,FEASIBLE_INCUMBENT_ONLY,False,True,2.129871,2.129871023,,,,,,,,,,,,,,,,,4,65.631281,65.668967,60.0,1,0.0,True,True,OK,instance_reference_solution,2.134303,15,375,instance_reference_solution warm start was passed to HiGHS.,274320,286102,266640,3600,4,30,sp50_three_path_psr_rim_slope_contrast_v2,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,Compact HiGHS fixed-graph product model found a feasible incumbent but did not prove optimality within the configured limits.,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7343.21333,265.639168381,12231.641235661,1680.0,False,6400.929211,227.4559,12290.736559,1249.435872,11544.679735,0.871679594,0.856258892,1.004831349,0.743711829,2.129871,2.129871,False
