scale,instance_id,status,feasible_incumbent_source,feasible_incumbent_objective,journey_count,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,note
30,lunar_ice_sp50_030_010_seed929010,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.91663,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7857.269836,282.077004087,11229.705192963,1680.0,False,5787.95903,218.761179,11354.795551,1270.456512,10548.638429,0.736637426,0.77553709,1.011139238,0.756224114,1.91663,1.91663,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_012_seed929012,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.870855,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7743.646512,281.993382541,10983.467924731,1680.0,False,5662.855353,207.146007,11120.409094,1141.448938,10318.164998,0.731290529,0.734577546,1.012467935,0.679433892,1.870855,1.870855,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_013_seed929013,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.75578,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7496.690571,257.172232279,9372.33389555,1680.0,False,5053.38645,173.71384,9518.067953,1045.082437,9034.327471,0.674082304,0.675476658,1.015549388,0.622072879,1.755779,1.75578,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_014_seed929014,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.834012,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7314.874229,262.923269213,10484.218260189,1680.0,False,5227.954161,187.339949,10661.999014,1131.888297,9680.093716,0.714701852,0.712527079,1.016956987,0.673743034,1.834012,1.834012,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_016_seed929016,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,2.070508,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7646.585368,265.808137284,12000.208822997,1680.0,False,6367.180871,220.765716,12218.600189,1297.26582,11475.386663,0.832682899,0.830545363,1.018198964,0.772182036,2.070508,2.070508,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_015_seed929015,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.953922,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7823.984834,272.249141422,12175.739582409,1680.0,False,6217.103302,205.10093,12356.655276,1196.727589,11364.866342,0.794621083,0.753357491,1.014858703,0.712337851,1.953922,1.953922,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_017_seed929017,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.882499,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7597.174117,277.312963862,11866.936369862,1680.0,False,5483.807632,209.378753,12034.564455,1185.074092,10507.012167,0.721822028,0.75502692,1.014125641,0.705401245,1.882499,1.882499,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_019_seed929019,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,2.11291,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7259.485319,261.73717096,12583.297366755,1680.0,False,6175.707437,224.160308,12764.740261,1395.525771,11505.763849,0.850708716,0.856432837,1.014419344,0.830670102,2.112909,2.11291,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_020_seed929020,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,2.134303,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7343.21333,265.639168381,12231.641235661,1680.0,False,6400.929211,227.4559,12426.265186,1252.293128,11598.891185,0.871679594,0.856258892,1.015911516,0.745412576,2.134303,2.134303,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
30,lunar_ice_sp50_030_018_seed929018,REFERENCE_INCUMBENT_AVAILABLE,instance_reference_solution_best_path_repair,1.832718,4,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,7919.524583,289.312520666,11613.752796496,1680.0,False,5614.694411,207.790978,11774.198817,1179.814428,10532.164916,0.70896862,0.718223247,1.013815174,0.702270493,1.832718,1.832718,False,Reference solution is a feasible upper bound only; it is not an optimality certificate.
