instance_path,solution_path,instance_id,status,exact_status,exact_claim_scope,bpc_certificate_status,uses_true_dual_bpc_certificate,objective,lower_bound,relaxation_gap,gap_type,canonical_objective,direct_exact_objective,direct_root_certificate_status,direct_root_certificate_exact_status,direct_root_lp_bound,direct_root_gap,direct_root_min_reduced_cost,direct_root_universe_column_count,direct_root_integer_matches_lp,direct_root_uses_true_dual_bpc_certificate,incumbent_source,seeded_selection_status,seeded_selection_objective,seeded_selection_state_count,seeded_selection_max_states,makespan_min,covered_task_count,task_count,node_count,time_limit_sec,time_limit_exceeded,timeout_reason,generated_journey_count,generated_sortie_count,route_template_count,pareto_label_count,set_partition_state_count,canonical_dp_max_tasks,direct_baseline_max_tasks,restricted_rmp_status,restricted_rmp_pool_type,restricted_rmp_pool_column_count,restricted_rmp_bound,restricted_rmp_min_reduced_cost,restricted_rmp_active_column_count,direct_pricing_status,direct_pricing_best_reduced_cost,direct_pricing_negative_found,direct_pricing_complete_for_all_tasks,direct_pricing_candidate_round_count,direct_pricing_candidate_round_limit,direct_pricing_candidate_task_count,direct_pricing_feasible_sortie_template_count,direct_pricing_cache_hit_count,direct_pricing_cache_miss_count,direct_cg_status,direct_cg_added_column_count,direct_cg_final_bound,direct_cg_integer_objective,direct_cg_round_count,direct_cg_cache_hit_count,direct_cg_cache_miss_count,direct_cg_reused_sortie_attempt_count,preprocess_wall_time_sec,exact_baseline_wall_time_sec,restricted_rmp_wall_time_sec,seeded_selection_wall_time_sec,solver_total_wall_time_sec,wall_time_sec,incomplete_reason
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_005/instance_001_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_010_020_direct20_probe/lunar_ice_005/instance_001_logical_graph_solution.json,lunar_ice_005_001_seed679001,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,fixed_logical_graph_exhaustive_direct_dp,NOT_PORTED_TRUE_DUAL_BPC,False,667.993047,604.433833,0.095149514,analytic_relaxation_not_bpc_certificate,671.035733,667.993047,DIRECT_ROOT_FIXED_GRAPH_INTEGER_CERTIFIED,FIXED_GRAPH_INTEGER_OPTIMAL,667.993047,0.0,0.0,31,True,False,direct_dp_exact_baseline,,,,,417.2339,5,5,1,600.0,False,,31,2757,540,50,1,10,20,RESTRICTED_RMP_OPTIMAL,canonical_path_universe,31,671.035733,0.0,31,DIRECT_LABEL_PRICED,-3.042685,True,True,1,,5,1560,0,1,DIRECT_CG_ROUND_LIMIT,1,667.993048,667.993048,1,0,1,0,0.000576,0.01794,0.598181,,0.619119,0.619892,exact_direct_dp_baseline_not_true_dual_bpc_certificate
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_010/instance_001_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_010_020_direct20_probe/lunar_ice_010/instance_001_logical_graph_solution.json,lunar_ice_010_001_seed729001,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,fixed_logical_graph_exhaustive_direct_dp,NOT_PORTED_TRUE_DUAL_BPC,False,1453.019096,1362.361947,0.062392263,analytic_relaxation_not_bpc_certificate,1455.561609,1453.019096,SKIPPED_TOO_LARGE_FOR_DIRECT_ROOT_CERTIFICATE,NOT_SOLVED,,,,0,False,False,direct_dp_exact_baseline,,,,,515.248295,10,10,1,600.0,False,,447,86949,8019,729,65,10,20,RESTRICTED_RMP_OPTIMAL,canonical_path_universe,447,1455.561609,0.0,447,PARTIAL_DIRECT_LABEL_PRICED,-0.834088,True,False,7,,5,10263,0,7,DIRECT_CG_ROUND_LIMIT,9,1454.727521,1454.727521,1,0,7,0,0.000986,3.467801,7.340481,,10.814403,10.815126,exact_direct_dp_baseline_not_true_dual_bpc_certificate
/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_020/instance_001_logical_graph.json,/home/kai/work/GAT_BPC_moonTerk/runs/solutions/lunar_ice_005_010_020_direct20_probe/lunar_ice_020/instance_001_logical_graph_solution.json,lunar_ice_020_001_seed829001,DIRECT_DP_BASELINE_OPTIMAL,EXACT_BASELINE_OPTIMAL,fixed_logical_graph_exhaustive_direct_dp,NOT_PORTED_TRUE_DUAL_BPC,False,3629.837152,3418.557463,0.058206382,analytic_relaxation_not_bpc_certificate,,3629.837152,SKIPPED_TOO_LARGE_FOR_DIRECT_ROOT_CERTIFICATE,NOT_SOLVED,,,,0,False,False,direct_dp_exact_baseline,,,,,633.312751,20,20,1,600.0,False,,42604,14903400,509633,69589,19012582,10,20,NO_RESTRICTED_RMP_POOL,none,,,,,,,,,,,,,,,,,,,,,,,0.002439,19.98063,5e-06,,19.999132,20.000307,exact_direct_dp_baseline_not_true_dual_bpc_certificate
