instance,task_count,vehicle_count,sortie_count,status,primal_bound,dual_bound,gap,solving_time,node_count,rmp_solves,pricing_calls,exact_pricing_calls,branch_nodes,branch_lp_test_rmp_solves,branch_heuristic_test_rmp_solves,branch_heuristic_test_pricing_calls,branch_lp_candidates_tested,branch_heuristic_candidates_tested,branch_testing_time,restricted_master_integer_calls,restricted_master_integer_feasible,restricted_master_integer_time,restricted_master_integer_best_objective,restricted_master_integer_raw_best_objective,restricted_master_integer_rejected,restricted_master_integer_no_good_cuts,crossing_cuts_added,crossing_cuts_upgraded,robust_capacity_cuts_added,resource_lower_bound_cuts_added,schedule_nogood_cuts_added,schedule_capacity_cuts_added,cuts_purged,generated_routes,generated_columns,label_pops,generated_labels,cuts_added,root_relaxation,incumbent_node,log_path,instance_path,seed
bench_20_01,20,2,20,TIME_LIMIT,227.187872,,,3723.177609,9,36,44,17,7,48,23,23,24,9,18.030375,7,2,44.359258,227.187872,226.621272,42,84,11,0,11,0,84,0,0,3025,6050,66320201,70675718,95,225.761901,4,/home/kai/work/gnn_bb/results/logs/bpc_clean/bench_20_01.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/fleet_sensitivity_20_01_02/instances_tight/instance_bench_20_01.json,20260511
bench_20_02,20,2,20,TIME_LIMIT,329.979902,,,3683.523667,11,33,36,14,10,0,0,0,0,0,0.0,10,0,157.793056,,229.371345,193,374,10,0,10,0,386,0,0,1955,3910,57109296,60573744,396,228.39887,0,/home/kai/work/gnn_bb/results/logs/bpc_clean/bench_20_02.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/fleet_sensitivity_20_01_02/instances_tight/instance_bench_20_02.json,20260511
