schema_version,config_hash,scale,instance_id,instance_path,worker_pricer_kind,labeling_worker_enabled,labeling_algorithm,resource_label_algorithm,resource_label_core_mode,resource_dimensions,dominance_policy,elementarity_policy,task_count,max_tasks_per_trip,worker_task_cap,seed_builder,seed_column_count,seed_wall_time_sec,column_provenance,max_rounds,max_columns_per_round,row_time_limit_sec,tail_dual_stabilization_enabled,algorithm_status,certificate_scope,pricing_state,node_status,uses_true_dual_bpc_certificate,node_lp_bound_official,pricing_proof_kind,completion_bound_pruning_enabled,completion_bound_evaluated_label_count,completion_bound_pruned_label_count,completion_bound_can_certify_no_negative,bound_prune_count,worker_generated_count,worker_candidate_budget,task_bound_pruned_count,resource_bound_pruned_count,dominance_filtered_count,duplicate_filtered_count,pricing_timeout,refinement_seed_count,active_refinement_seed_count,refinement_expanded_seed_count,active_refinement_expanded_seed_count,refinement_seed_source,refinement_seed_mutates_certificate,global_remaining_rc_lb,global_remaining_rc_lb_valid,global_remaining_rc_lb_coverage_complete,frontier_region_count,frontier_unsupported_region_count,frontier_unsupported_task_count_regions,branch_context_audit_pass,branch_invalid_column_count,manual_rc_audit_pass,pricing_rc_audit_pass,rmp_iteration_count,pricing_round_count,final_judge_call_count,candidate_negative_count,addable_negative_count,selected_count,added_to_master_count,worker_status,worker_exit_reason,worker_wall_time,final_judge_wall_time,time_to_first_negative,time_to_first_addable_negative,candidate_task_set_count,labeling_seed_task_set_count,ng_seed_task_set_count,resource_extension_seed_enabled,resource_extension_seed_task_set_count,active_resource_extension_seed_task_set_count,resource_extension_seed_task_set_count_by_size,active_seed_task_set_source_counts,candidate_seed_source_precedence,input_seed_task_set_count,merged_seed_task_set_count,active_seed_task_set_count,active_ng_seed_task_set_count,active_input_seed_task_set_count,ng_neighborhood_size,ng_neighborhood_sizes,ng_neighborhood_stage_count,ng_seed_task_set_count_by_size,labels_generated_total,labels_extended,journey_labels,true_dual_audited_column_count,true_dual_selected_negative_count,labeling_harvest_candidate_negative_count,labeling_harvest_selected_count,labeling_harvest_selected_new_task_set_count,labeling_harvest_selected_replacement_task_set_count,labeling_harvest_avg_pairwise_jaccard,labeling_harvest_candidate_seed_source_counts,labeling_harvest_selected_seed_source_counts,labeling_no_column_uncertified,diagnostic_dual_source,worker_dual_source,official_dual_source,worker_dual_only,true_dual_rc_recomputed,tail_dual_no_column_can_certify,wall_time_sec,fail_closed_reason,note
lunar_ice_bpc.labeling_worker_diagnostic.v1,4cf11d520b30f0c2,30,lunar_ice_sp50_030_001_seed929001,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_001_logical_graph.json,direct_label,0,,direct_selected_set_resource_labeling,direct_selected_set_worker,"[""time_window"", ""horizon"", ""energy"", ""capacity"", ""shadow_exposure"", ""risk"", ""weighted_completion""]",same_mask_end_time_and_reduced_base,selected_elementary_candidate_sets_ng_route_worker,30,6,3,instance_json_reference_repair_plus_singletons,34,0.051738,instance_json_reference_repair_plus_singletons_no_history_no_b0_no_probe,1,16,30.0,0,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,NODE_INCOMPLETE,0,0,DIRECT_WORKER_UNCERTIFIED,0,244,0,0,0,32,16,0,0,0,0,0,0,0,0,0,hidden_negative_audit_catalog,0,,0,0,,,[],1,0,1,0,1,1,0,6,4,4,4,FOUND_NEGATIVE,WORKER_FOUND_ADDABLE_NEGATIVE,0.061002,0.0,0.061002,0.061002,16,16,0,0,0,0,{},"{""input_seed"": 16}","[""input_seed""]",16,16,0,0,0,0,[],0,{},228,3711,27,27,0,0,0,0,0,,{},{},0,master.reduced_cost_context,current_true_rmp_dual,current_true_rmp_dual,1,1,0,0.0627,Stopped after max_rounds=1; B2B_R3 node proof is incomplete.,Stopped after max_rounds=1; B2B_R3 node proof is incomplete.
lunar_ice_bpc.labeling_worker_diagnostic.v1,4cf11d520b30f0c2,30,lunar_ice_sp50_030_001_seed929001,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_001_logical_graph.json,relaxed_labeling,1,ng_route_relaxed_resource_labeling_plus_direct_seed_portfolio,ng_route_relaxed_resource_labeling,relaxed_ng_route_worker,"[""time_window"", ""horizon"", ""energy"", ""capacity"", ""shadow_exposure"", ""risk"", ""weighted_completion""]",same_mask_end_time_and_reduced_base,selected_elementary_candidate_sets_ng_route_worker,30,6,3,instance_json_reference_repair_plus_singletons,34,0.051738,instance_json_reference_repair_plus_singletons_no_history_no_b0_no_probe,1,16,30.0,0,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,NODE_INCOMPLETE,0,0,RELAXED_WORKER_UNCERTIFIED,1,142,11,0,11,75,16,11,0,0,0,0,0,0,0,0,hidden_negative_audit_catalog,0,,0,0,,1,[],1,0,1,0,1,1,0,9,9,9,9,FOUND_NEGATIVE,WORKER_FOUND_ADDABLE_NEGATIVE,0.123754,0.0,0.123754,0.123754,32,97,63,1,25,8,"{""3"": 16, ""5"": 16, ""8"": 16}","{""input_seed"": 8, ""ng_route"": 4, ""resource_extension"": 8}","[""input_seed"", ""resource_extension"", ""ng_route""]",16,97,16,4,8,8,"[3, 5, 8]",3,"{""3"": 63, ""5"": 63, ""8"": 63}",416,4514,9,26,9,9,9,9,0,0.106019,"{""ng_route"": 3, ""resource_extension"": 7, ""unknown"": 2}","{""ng_route"": 3, ""resource_extension"": 7, ""unknown"": 2}",0,master.reduced_cost_context,current_true_rmp_dual,current_true_rmp_dual,1,1,0,0.125362,Stopped after max_rounds=1; B2B_R3 node proof is incomplete.,Stopped after max_rounds=1; B2B_R3 node proof is incomplete.
lunar_ice_bpc.labeling_worker_diagnostic.v1,4cf11d520b30f0c2,5,lunar_ice_sp50_005_001_seed679001,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_001_logical_graph.json,direct_label,0,,direct_selected_set_resource_labeling,direct_selected_set_worker,"[""time_window"", ""horizon"", ""energy"", ""capacity"", ""shadow_exposure"", ""risk"", ""weighted_completion""]",same_mask_end_time_and_reduced_base,selected_elementary_candidate_sets_ng_route_worker,5,6,5,instance_json_reference_repair_plus_singletons,6,0.001967,instance_json_reference_repair_plus_singletons_no_history_no_b0_no_probe,1,16,30.0,0,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,NODE_INCOMPLETE,0,0,DIRECT_WORKER_UNCERTIFIED,0,123,0,0,0,16,16,0,0,1,0,0,0,0,0,0,hidden_negative_audit_catalog,0,,0,0,,,[],1,0,1,0,1,1,0,8,5,5,5,FOUND_NEGATIVE,WORKER_FOUND_ADDABLE_NEGATIVE,0.053565,0.0,0.053565,0.053565,16,16,0,0,0,0,{},"{""input_seed"": 16}","[""input_seed""]",16,16,0,0,0,0,[],0,{},107,8802,32,32,0,0,0,0,0,,{},{},0,master.reduced_cost_context,current_true_rmp_dual,current_true_rmp_dual,1,1,0,0.054172,Stopped after max_rounds=1; B2B_R3 node proof is incomplete.,Stopped after max_rounds=1; B2B_R3 node proof is incomplete.
lunar_ice_bpc.labeling_worker_diagnostic.v1,4cf11d520b30f0c2,5,lunar_ice_sp50_005_001_seed679001,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_005/instance_001_logical_graph.json,relaxed_labeling,1,ng_route_relaxed_resource_labeling_plus_direct_seed_portfolio,ng_route_relaxed_resource_labeling,relaxed_ng_route_worker,"[""time_window"", ""horizon"", ""energy"", ""capacity"", ""shadow_exposure"", ""risk"", ""weighted_completion""]",same_mask_end_time_and_reduced_base,selected_elementary_candidate_sets_ng_route_worker,5,6,5,instance_json_reference_repair_plus_singletons,6,0.001967,instance_json_reference_repair_plus_singletons_no_history_no_b0_no_probe,1,16,30.0,0,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,INCOMPLETE_LIMIT,NODE_INCOMPLETE,0,0,RELAXED_WORKER_UNCERTIFIED,1,104,15,0,15,31,16,15,0,1,0,0,0,0,0,0,hidden_negative_audit_catalog,0,,0,0,,1,[],1,0,1,0,1,1,0,6,6,6,6,FOUND_NEGATIVE,WORKER_FOUND_ADDABLE_NEGATIVE,0.066266,0.0,0.066266,0.066266,32,31,27,1,18,15,"{""3"": 14, ""5"": 16, ""8"": 16}","{""input_seed"": 15, ""ng_route"": 12, ""resource_extension"": 15}","[""input_seed"", ""resource_extension"", ""ng_route""]",16,31,16,12,15,8,"[3, 5, 8]",3,"{""3"": 21, ""5"": 27, ""8"": 27}",234,9695,6,17,6,6,6,6,0,0.471111,"{""input_seed"": 5, ""ng_route"": 6, ""resource_extension"": 4}","{""input_seed"": 5, ""ng_route"": 6, ""resource_extension"": 4}",0,master.reduced_cost_context,current_true_rmp_dual,current_true_rmp_dual,1,1,0,0.066777,Stopped after max_rounds=1; B2B_R3 node proof is incomplete.,Stopped after max_rounds=1; B2B_R3 node proof is incomplete.
