matrix_group,scale,instance_id,baseline_name,candidate_name,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,official_lower_bound_source,official_lower_bound_scope,B0_direct_objective,root_lp_bound,root_lp_bound_official,root_bound_le_B0_objective,pricing_round_count,final_judge_call_count,candidate_negative_count,addable_negative_count,duplicate_in_current_master_count,in_pool_not_master_count,forbidden_signature_count,branch_filtered_count,cut_filtered_count,selected_count,added_to_master_count,added_column_count,duplicate_only_count,duplicate_only_audit_status,hidden_negative_count,replacement_only_round_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,wall_time,fail_closed_reason,certificate_scope_regression,objective_mismatch,improvement_reason
,5,lunar_ice_005_001_seed629001,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,542.721466,,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0.003537,,False,False,
,5,lunar_ice_005_001_seed629001,accepted_B1,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,542.721466,542.721466,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.032815,,False,False,
,5,lunar_ice_005_001_seed629001,accepted_B1,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,542.721466,542.721466,True,True,3,3,0,0,0,0,0,0,0,0,17,17,0,,0,0,True,True,0,0.058565,,False,False,
,5,lunar_ice_005_001_seed629001,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,542.721466,542.721466,True,True,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,True,0,0.007635,,False,False,wall_time_lower
,5,lunar_ice_005_001_seed629001,B1B_seeded_root_CG,B2B_seeded_tail_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,542.721466,542.721466,True,True,3,3,40,40,0,0,0,0,0,40,17,17,0,,0,0,True,True,0,0.060093,,False,False,
