slot_id,scale,instance_key,repetition,order,order_index,mode,status,returncode,cold_start_total_sec,exact,redlines_zero,engine_hash_valid,engine_build_hash,objective,certificate_scope,live_sri_policy_name,live_cut_policy_hash,max_active_cut_count,launcher_termination_reason,peak_process_tree_rss_gb,minimum_available_memory_gb,run_dir
s005:instance_008:r04:o1:no_cut,5,instance_008,4,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.391345,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004631,12.844162,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_04/1_no_cut/attempt_01
s005:instance_008:r04:o2:live,5,instance_008,4,no_cut/live,2,live,EXACT_CLOSED,0,0.403059,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004368,12.840569,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_04/2_live/attempt_01
s005:instance_008:r05:o1:live,5,instance_008,5,live/no_cut,1,live,EXACT_CLOSED,0,0.421234,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004498,12.838985,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_05/1_live/attempt_01
s005:instance_008:r05:o2:no_cut,5,instance_008,5,live/no_cut,2,no_cut,EXACT_CLOSED,0,0.407758,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.00449,12.841255,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_05/2_no_cut/attempt_01
s005:instance_008:r06:o1:no_cut,5,instance_008,6,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.39896,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004841,12.847359,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_06/1_no_cut/attempt_01
s005:instance_008:r06:o2:live,5,instance_008,6,no_cut/live,2,live,EXACT_CLOSED,0,0.430009,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.00441,12.846321,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_06/2_live/attempt_01
s005:instance_008:r07:o1:live,5,instance_008,7,live/no_cut,1,live,EXACT_CLOSED,0,0.41281,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.00449,12.847477,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_07/1_live/attempt_01
s005:instance_008:r07:o2:no_cut,5,instance_008,7,live/no_cut,2,no_cut,EXACT_CLOSED,0,0.416574,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004498,12.843643,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_07/2_no_cut/attempt_01
s005:instance_008:r08:o1:no_cut,5,instance_008,8,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.405306,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004673,12.843945,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_08/1_no_cut/attempt_01
s005:instance_008:r08:o2:live,5,instance_008,8,no_cut/live,2,live,EXACT_CLOSED,0,0.409073,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004593,12.846306,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_08/2_live/attempt_01
s005:instance_008:r09:o1:live,5,instance_008,9,live/no_cut,1,live,EXACT_CLOSED,0,0.419919,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004562,12.839848,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_09/1_live/attempt_01
