run_id,variant,task_vehicle_linking_enabled,schedule_capacity_cuts_enabled,instance,task_count,vehicle_count,sortie_count,status,primal_bound,dual_bound,gap,solving_time,node_count,rmp_solves,pricing_calls,exact_pricing_calls,branch_lp_test_rmp_solves,branch_heuristic_test_rmp_solves,branch_heuristic_test_pricing_calls,branch_lp_candidates_tested,branch_heuristic_candidates_tested,branch_testing_time,crossing_cuts_added,crossing_cuts_upgraded,robust_capacity_cuts_added,resource_lower_bound_cuts_added,schedule_capacity_cuts_added,cuts_purged,generated_routes,generated_columns,cuts_added,root_relaxation,incumbent_node,log_path,instance_path,seed
20260512_202017_medium_crossing_order_schedcap_vs_link_3600,schedcap_only,False,True,medium,20,3,17,TIME_LIMIT,626.902419,527.939413,0.15786,3602.540614,1387,2877,1493,1493,12066,6402,6374,6033,2976,2238.736502,0,0,0,0,3,0,1569,4707,1134,490.283693,18,/home/kai/work/gnn_bb/results/ablation/20260512_202017_medium_crossing_order_schedcap_vs_link_3600/logs/schedcap_only/medium.jsonl,/home/kai/work/gnn_bb/json/instances/instance_medium.json,20260511
20260512_202017_medium_crossing_order_schedcap_vs_link_3600,link_schedcap,True,True,medium,20,3,17,TIME_LIMIT,533.926567,527.939413,0.011213,3603.265647,1327,2780,1458,1458,11430,6090,6078,5715,2790,2280.38129,0,0,0,0,3,0,1737,5211,1050,490.283693,1512,/home/kai/work/gnn_bb/results/ablation/20260512_202017_medium_crossing_order_schedcap_vs_link_3600/logs/link_schedcap/medium.jsonl,/home/kai/work/gnn_bb/json/instances/instance_medium.json,20260511
