scale,instance,instance_id,source,max_direct_tasks,b0_status,b0_objective,b0_wall,b3_status,b3_exact_status,b3_scope,pricing_state,b3_lb,b3_ub,b3_gap,objective_diff_vs_b0,objective_match_tolerance,node_count,open_node_count,incomplete_node_count,expanded_node_count,closed_node_count,root_node_status,root_integral,tree_closed,uses_true_dual_bpc_certificate,b3_wall,issues,note
5,instance_001_logical_graph.json,lunar_ice_sp50_005_001_seed679001,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1310.952686,0.007483,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1310.952686,1310.952686,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.155486,,
5,instance_002_logical_graph.json,lunar_ice_sp50_005_002_seed679002,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1349.525425,0.003481,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1349.525425,1349.525425,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.207958,,
5,instance_003_logical_graph.json,lunar_ice_sp50_005_003_seed679005,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1316.47124,0.004606,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1316.47124,1316.47124,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.282607,,
5,instance_004_logical_graph.json,lunar_ice_sp50_005_004_seed679030,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1233.389303,0.00401,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1233.389303,1233.389303,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.228473,,
5,instance_005_logical_graph.json,lunar_ice_sp50_005_005_seed679011,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1182.368403,0.004219,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1182.368403,1182.368403,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.291881,,
5,instance_006_logical_graph.json,lunar_ice_sp50_005_006_seed679032,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1244.612406,0.004245,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1244.612406,1244.612406,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.21575,,
5,instance_007_logical_graph.json,lunar_ice_sp50_005_007_seed679013,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1400.622149,0.003555,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1400.622149,1400.622149,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.362489,,
5,instance_008_logical_graph.json,lunar_ice_sp50_005_008_seed679014,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1579.649799,0.00552,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1579.649799,1579.649799,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.398124,,
5,instance_009_logical_graph.json,lunar_ice_sp50_005_009_seed679015,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1513.217855,0.005396,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1513.217855,1513.217855,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.247138,,
5,instance_010_logical_graph.json,lunar_ice_sp50_005_010_seed679016,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1340.689732,0.007116,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1340.689732,1340.689732,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.332183,,
5,instance_011_logical_graph.json,lunar_ice_sp50_005_011_seed679017,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1432.954994,0.00548,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1432.954994,1432.954994,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.426837,,
5,instance_012_logical_graph.json,lunar_ice_sp50_005_012_seed679018,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1431.520203,0.011541,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1431.520203,1431.520203,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.475021,,
5,instance_013_logical_graph.json,lunar_ice_sp50_005_013_seed679019,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1573.234918,0.005415,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1573.234918,1573.234918,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.390544,,
5,instance_014_logical_graph.json,lunar_ice_sp50_005_014_seed679020,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1544.987555,0.007291,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1544.987555,1544.987555,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.387615,,
5,instance_015_logical_graph.json,lunar_ice_sp50_005_015_seed679021,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1529.573117,0.003669,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1529.573117,1529.573117,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.240383,,
5,instance_016_logical_graph.json,lunar_ice_sp50_005_016_seed679062,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1071.627935,0.004286,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1071.627935,1071.627935,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.218603,,
5,instance_017_logical_graph.json,lunar_ice_sp50_005_017_seed679123,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,1255.420499,0.007039,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1255.420499,1255.420499,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.318598,,
5,instance_018_logical_graph.json,lunar_ice_sp50_005_018_seed679064,fresh_5_10_full,5,DIRECT_DP_BASELINE_OPTIMAL,956.173707,0.00731,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,956.173707,956.173707,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,,,0.345165,,
