scale,instance,instance_id,max_direct_tasks,b0_status,b0_objective,b0_wall,b3_status,b3_exact_status,b3_scope,pricing_state,b3_lb,b3_ub,b3_gap,objective_diff_vs_b0,objective_match_tolerance,node_count,open_node_count,incomplete_node_count,expanded_node_count,closed_node_count,root_node_status,root_integral,b3_wall,issues
5,instance_001_logical_graph.json,lunar_ice_sp50_005_001_seed679001,5,DIRECT_DP_BASELINE_OPTIMAL,1310.952686,0.007483,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1310.952686,1310.952686,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.155486,
5,instance_002_logical_graph.json,lunar_ice_sp50_005_002_seed679002,5,DIRECT_DP_BASELINE_OPTIMAL,1349.525425,0.003481,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1349.525425,1349.525425,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.207958,
5,instance_003_logical_graph.json,lunar_ice_sp50_005_003_seed679005,5,DIRECT_DP_BASELINE_OPTIMAL,1316.47124,0.004606,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1316.47124,1316.47124,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.282607,
5,instance_004_logical_graph.json,lunar_ice_sp50_005_004_seed679030,5,DIRECT_DP_BASELINE_OPTIMAL,1233.389303,0.00401,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1233.389303,1233.389303,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.228473,
5,instance_005_logical_graph.json,lunar_ice_sp50_005_005_seed679011,5,DIRECT_DP_BASELINE_OPTIMAL,1182.368403,0.004219,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1182.368403,1182.368403,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.291881,
5,instance_006_logical_graph.json,lunar_ice_sp50_005_006_seed679032,5,DIRECT_DP_BASELINE_OPTIMAL,1244.612406,0.004245,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1244.612406,1244.612406,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.21575,
5,instance_007_logical_graph.json,lunar_ice_sp50_005_007_seed679013,5,DIRECT_DP_BASELINE_OPTIMAL,1400.622149,0.003555,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1400.622149,1400.622149,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.362489,
5,instance_008_logical_graph.json,lunar_ice_sp50_005_008_seed679014,5,DIRECT_DP_BASELINE_OPTIMAL,1579.649799,0.00552,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1579.649799,1579.649799,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.398124,
5,instance_009_logical_graph.json,lunar_ice_sp50_005_009_seed679015,5,DIRECT_DP_BASELINE_OPTIMAL,1513.217855,0.005396,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1513.217855,1513.217855,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.247138,
5,instance_010_logical_graph.json,lunar_ice_sp50_005_010_seed679016,5,DIRECT_DP_BASELINE_OPTIMAL,1340.689732,0.007116,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1340.689732,1340.689732,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.332183,
