timestamp_utc,scale,instance_id,attempt,root_pid,tree_rss_kb,mem_available_kb,swap_free_kb,swap_total_kb,disk_free_bytes
2026-07-22T02:54:45.983905+00:00,5,instance_001_logical_graph,1,1290285,6072,13321952,4191976,4194304,882368897024
2026-07-22T02:54:46.985912+00:00,5,instance_001_logical_graph,1,1290285,0,13321908,4191976,4194304,882368516096
2026-07-22T02:54:46.991389+00:00,5,instance_002_logical_graph,1,1290595,5696,13322900,4191976,4194304,882368495616
2026-07-22T02:54:47.993358+00:00,5,instance_002_logical_graph,1,1290595,0,13319152,4191976,4194304,882368090112
2026-07-22T02:54:48.000546+00:00,5,instance_003_logical_graph,1,1290918,6064,13316992,4191976,4194304,882368077824
2026-07-22T02:54:49.002584+00:00,5,instance_003_logical_graph,1,1290918,0,13318508,4191976,4194304,882367700992
2026-07-22T02:54:49.011605+00:00,5,instance_004_logical_graph,1,1291224,6376,13319132,4191976,4194304,882367684608
2026-07-22T02:54:50.013663+00:00,5,instance_004_logical_graph,1,1291224,0,13322680,4191976,4194304,882367332352
2026-07-22T02:54:50.025289+00:00,5,instance_005_logical_graph,1,1291538,6596,13320020,4191976,4194304,882367320064
2026-07-22T02:54:51.027512+00:00,5,instance_005_logical_graph,1,1291538,0,13326460,4191976,4194304,882366935040
2026-07-22T02:54:51.040701+00:00,5,instance_006_logical_graph,1,1291841,6272,13325680,4191976,4194304,882366922752
2026-07-22T02:54:52.042695+00:00,5,instance_006_logical_graph,1,1291841,0,13320568,4191976,4194304,882366525440
2026-07-22T02:54:52.059658+00:00,5,instance_007_logical_graph,1,1292151,5760,13316680,4191976,4194304,882366513152
2026-07-22T02:54:53.061699+00:00,5,instance_007_logical_graph,1,1292151,0,13316852,4191976,4194304,882366111744
2026-07-22T02:54:53.077820+00:00,5,instance_008_logical_graph,1,1292459,6204,13317680,4191976,4194304,882366095360
2026-07-22T02:54:54.079884+00:00,5,instance_008_logical_graph,1,1292459,0,13310044,4191976,4194304,882365714432
2026-07-22T02:54:54.097139+00:00,5,instance_009_logical_graph,1,1292776,5752,13305720,4191976,4194304,882365702144
2026-07-22T02:54:55.099268+00:00,5,instance_009_logical_graph,1,1292776,0,13305608,4191976,4194304,882365337600
2026-07-22T02:54:55.120236+00:00,5,instance_010_logical_graph,1,1293081,6152,13312220,4191976,4194304,882365325312
2026-07-22T02:54:56.122209+00:00,5,instance_010_logical_graph,1,1293081,0,13312484,4191976,4194304,882364936192
2026-07-22T02:54:56.143427+00:00,5,instance_011_logical_graph,1,1293407,6092,13310292,4191976,4194304,882364923904
2026-07-22T02:54:57.145478+00:00,5,instance_011_logical_graph,1,1293407,0,13311044,4191976,4194304,882364522496
2026-07-22T02:54:57.171734+00:00,5,instance_012_logical_graph,1,1293722,6236,13309944,4191976,4194304,882364506112
2026-07-22T02:54:58.173823+00:00,5,instance_012_logical_graph,1,1293722,0,13310896,4191976,4194304,882364121088
2026-07-22T02:54:58.198297+00:00,5,instance_013_logical_graph,1,1294046,6396,13307532,4191976,4194304,882364104704
2026-07-22T02:54:59.200593+00:00,5,instance_013_logical_graph,1,1294046,0,13305296,4191976,4194304,882363723776
2026-07-22T02:54:59.226233+00:00,5,instance_014_logical_graph,1,1294361,6316,13306000,4191976,4194304,882363711488
2026-07-22T02:55:00.228430+00:00,5,instance_014_logical_graph,1,1294361,0,13308828,4191976,4194304,882363346944
2026-07-22T02:55:00.256637+00:00,5,instance_015_logical_graph,1,1294691,6292,13304000,4191976,4194304,882363334656
2026-07-22T02:55:01.258701+00:00,5,instance_015_logical_graph,1,1294691,0,13306292,4191976,4194304,882362949632
2026-07-22T02:55:01.288610+00:00,5,instance_016_logical_graph,1,1295002,6156,13307148,4191976,4194304,882362937344
2026-07-22T02:55:02.290650+00:00,5,instance_016_logical_graph,1,1295002,0,13305008,4191976,4194304,882362560512
2026-07-22T02:55:02.330659+00:00,5,instance_017_logical_graph,1,1295306,5992,13304976,4191976,4194304,882362544128
2026-07-22T02:55:03.332746+00:00,5,instance_017_logical_graph,1,1295306,0,13305220,4191976,4194304,882362171392
2026-07-22T02:55:03.366849+00:00,5,instance_018_logical_graph,1,1295618,6076,13306536,4191976,4194304,882362159104
