slot_id,scale,instance_key,backend_id,terminal_class,status,returncode,cold_start_total_sec,root_cg_sec,tree_sec,exact,safety_pass,objective,reference_frozen_objective,objective_match_frozen,algorithm_status,exact_status,row_budget_exhausted,peak_process_tree_rss_gb,minimum_available_memory_gb,launcher_termination_reason,engine_build_hash,instance_content_hash,service_timing_policy_id,run_dir
s005_instance_001,5,instance_001,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.192192,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_002,5,instance_002,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.363709,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_003,5,instance_003,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.202702,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_004,5,instance_004,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.068163,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_005,5,instance_005,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.155459,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_006,5,instance_006,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.114233,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_007,5,instance_007,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.140463,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_008,5,instance_008,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.100262,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_009,5,instance_009,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.096863,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_010,5,instance_010,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.204695,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_011,5,instance_011,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.087922,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_012,5,instance_012,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.195034,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_013,5,instance_013,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.231707,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_014,5,instance_014,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.249908,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_015,5,instance_015,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.081278,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_016,5,instance_016,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.158522,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_017,5,instance_017,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.22075,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_018,5,instance_018,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.941902,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_019,5,instance_019,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.165365,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s005_instance_020,5,instance_020,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.170592,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_001,10,instance_001,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.130698,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_002,10,instance_002,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.832026,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_003,10,instance_003,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.751503,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_004,10,instance_004,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.945275,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_005,10,instance_005,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.905142,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_006,10,instance_006,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.076254,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_007,10,instance_007,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.039059,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_008,10,instance_008,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.889725,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_009,10,instance_009,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.940696,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_010,10,instance_010,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.908037,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_011,10,instance_011,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.971928,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_012,10,instance_012,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.030829,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_013,10,instance_013,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.093161,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_014,10,instance_014,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.106819,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_015,10,instance_015,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.05395,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_016,10,instance_016,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.085912,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_017,10,instance_017,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,2.165908,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_018,10,instance_018,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.876226,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_019,10,instance_019,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.865888,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s010_instance_020,10,instance_020,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.976287,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s020_instance_001,20,instance_001,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.787257,,,,,,,,,,no_task_wait_base_departure_shift_v1,
s020_instance_002,20,instance_002,native_rcspp_inprocess,DRY_RUN,DRY_RUN,0,,,,False,True,,1.880912,,,,,,,,,,no_task_wait_base_departure_shift_v1,
