stage,matrix_group,instance_path,source_probe_json,scale,instance_id,mode,variant,phase,round,algorithm_status,certificate_scope,underlying_certificate_scope,pricing_state,exact_status,bpc_tree_optimal,b3_objective_diff_vs_b0,manual_rc_fail,pricing_rc_fail,certificate_leak,hidden_negative_count,harvest_selected_count,harvest_candidate_negative_count,harvest_selected_new_task_set_count,harvest_selected_replacement_task_set_count,harvest_best_true_rc,harvest_worst_selected_true_rc,harvest_addability_audit_pass,tail_dual_stabilization_enabled,worker_dual_only,true_dual_rc_recomputed,global_remaining_rc_lb,underlying_global_remaining_rc_lb,frontier_lb_official,frontier_coverage_complete,underlying_frontier_coverage_complete,frontier_unsupported_region_count,underlying_frontier_unsupported_region_count,pending_complete_min_rc,underlying_pending_complete_min_rc,pricing_proof_kind,underlying_pricing_proof_kind,compact_pricing_dual_bound,new_negative_columns_found,negative_column_count,can_certify_no_negative,underlying_can_certify_no_negative,b4_1_certificate_suppressed,diagnostic_claimed_certificate,wall_time,fail_closed_reason
B,B4.1 Stage B 30-scale staged frontier,,/home/kai/work/GAT_BPC_moonTerk/runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,,lunar_ice_sp50_030_001_seed929001,B4.1_compact_pricing_formulation,V2_latest_service_start_slot_bound,negative_feasibility,3,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,DIAGNOSTIC_PRICING_FRONTIER,DIAGNOSTIC_PRICING_FRONTIER,,NOT_SOLVED,False,,0,0,0,,,,,,,,,False,False,False,-0.488480363,-0.488480363,False,False,False,1,1,,,FRONTIER_BOUND_INCOMPLETE,FRONTIER_BOUND_INCOMPLETE,-0.488480363,0,0,False,False,False,0,54.259771,
B,B4.1 Stage B 30-scale staged frontier,,/home/kai/work/GAT_BPC_moonTerk/runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,,lunar_ice_sp50_030_001_seed929001,B4.1_compact_pricing_formulation,V2_latest_service_start_slot_bound,optimization_proof,3,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,DIAGNOSTIC_PRICING_FRONTIER,DIAGNOSTIC_PRICING_FRONTIER,,NOT_SOLVED,False,,0,0,0,,,,,,,,,False,False,False,-0.432157206,-0.432157206,False,False,False,1,1,0.002707375,0.002707375,FRONTIER_BOUND_INCOMPLETE,FRONTIER_BOUND_INCOMPLETE,-0.432157206,0,0,False,False,False,0,54.141586,
