run_id,variant,task_vehicle_linking_enabled,schedule_capacity_cuts_enabled,instance,task_count,vehicle_count,sortie_count,status,primal_bound,dual_bound,gap,solving_time,node_count,rmp_solves,pricing_calls,exact_pricing_calls,branch_lp_test_rmp_solves,branch_heuristic_test_rmp_solves,branch_heuristic_test_pricing_calls,branch_lp_candidates_tested,branch_heuristic_candidates_tested,branch_testing_time,robust_capacity_cuts_added,resource_lower_bound_cuts_added,schedule_capacity_cuts_added,cuts_purged,generated_routes,generated_columns,cuts_added,root_relaxation,incumbent_node,log_path,instance_path,seed
20260512_140011_medium_link_schedcap_ablation_3600,no_link_no_schedcap,False,False,medium,20,3,17,TIME_LIMIT,626.902419,527.420916,0.158687,3600.563964,1275,2649,1377,1377,11284,6318,6307,5642,2808,2176.38441,0,0,0,0,1562,4686,945,490.283693,8,/home/kai/work/gnn_bb/results/ablation/20260512_140011_medium_link_schedcap_ablation_3600/logs/no_link_no_schedcap/medium.jsonl,/home/kai/work/gnn_bb/json/instances/instance_medium.json,20260511
20260512_140011_medium_link_schedcap_ablation_3600,link_only,True,False,medium,20,3,17,TIME_LIMIT,626.902419,527.79946,0.158084,3601.468276,1593,3306,1730,1730,14320,7537,7504,7160,3509,2303.469722,0,0,0,0,1479,4437,1170,490.283693,6,/home/kai/work/gnn_bb/results/ablation/20260512_140011_medium_link_schedcap_ablation_3600/logs/link_only/medium.jsonl,/home/kai/work/gnn_bb/json/instances/instance_medium.json,20260511
20260512_140011_medium_link_schedcap_ablation_3600,schedcap_only,False,True,medium,20,3,17,TIME_LIMIT,532.478425,527.71744,0.008941,3600.177006,1373,2841,1471,1471,12598,6848,6837,6299,3121,2222.053566,0,0,3,0,1421,4263,864,490.283693,1469,/home/kai/work/gnn_bb/results/ablation/20260512_140011_medium_link_schedcap_ablation_3600/logs/schedcap_only/medium.jsonl,/home/kai/work/gnn_bb/json/instances/instance_medium.json,20260511
20260512_140011_medium_link_schedcap_ablation_3600,link_schedcap,True,True,medium,20,3,17,TIME_LIMIT,533.926567,527.939413,0.011213,3602.718694,1567,3271,1708,1708,14074,7465,7436,7037,3446,2232.550467,0,0,5,0,1593,4779,1136,490.283693,1833,/home/kai/work/gnn_bb/results/ablation/20260512_140011_medium_link_schedcap_ablation_3600/logs/link_schedcap/medium.jsonl,/home/kai/work/gnn_bb/json/instances/instance_medium.json,20260511
