active_column_count,algorithm_status,best_reduced_cost,bpc_tree_optimal,certificate_scope,columns_added,end_to_end_stage_sum_sec,end_to_end_wall_time_sec,exact_certificate,final_judge_formulation_profile,final_judge_profile,final_judge_wall_time_sec,global_remaining_rc_lb,instance_index,instance_key,instance_path,mip_node_count,note,phase,pool_active_column_count,pool_added_column_count_last_stage,pool_build_wall_time_sec,pool_certified,pool_elapsed_stage_sum_sec,pool_phase_mode,pool_profile,pool_stage_count,pricing_proof_kind,pricing_state,profile,profile_phase_mode,result_json,round_count,row_wall_time_sec,simplex_iteration_count,source_probe_json,strict_from_json,tight_sequence_count,tight_sequence_max_reduction,tree_optimal,wall_time_sec
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,4,instance_004,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_004_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,60.605907,,60.294765,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_004/stage_001/probe.json,True,,,False,
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_005,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_005_logical_graph.json,,,pool_build,39,5,103.181687,False,102.819334,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_005/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,5,instance_005,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_005_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,103.181687,,102.819334,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_005/stage_001/probe.json,True,,,False,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,5,instance_005,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_005_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,103.181687,,102.819334,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_005/stage_001/probe.json,True,,,False,
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_006,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_006_logical_graph.json,,,pool_build,39,5,130.580501,False,130.285841,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_006/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,6,instance_006,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_006_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,130.580501,,130.285841,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_006/stage_001/probe.json,True,,,False,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,6,instance_006,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_006_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,130.580501,,130.285841,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_006/stage_001/probe.json,True,,,False,
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_007,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_007_logical_graph.json,,,pool_build,39,5,41.358427,False,41.048882,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_007/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,7,instance_007,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_007_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,41.358427,,41.048882,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_007/stage_001/probe.json,True,,,False,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,7,instance_007,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_007_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,41.358427,,41.048882,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_007/stage_001/probe.json,True,,,False,
