instance,task_count,vehicle_count,sortie_count,status,primal_bound,dual_bound,gap,diagnostic_dual_bound,diagnostic_gap,best_open_node_bound,pending_node_bound,last_certified_node_bound,solving_time,node_count,rmp_solves,pricing_calls,exact_pricing_calls,branch_nodes,branch_lp_test_rmp_solves,branch_heuristic_test_rmp_solves,branch_heuristic_test_pricing_calls,branch_lp_candidates_tested,branch_heuristic_candidates_tested,branch_testing_time,restricted_master_integer_calls,restricted_master_integer_feasible,restricted_master_integer_time,restricted_master_integer_best_objective,restricted_master_integer_raw_best_objective,restricted_master_integer_rejected,restricted_master_integer_no_good_cuts,restricted_master_integer_pair_conflict_cuts,restricted_master_integer_route_set_packing_cuts,restricted_master_integer_schedule_capacity_cuts,crossing_cuts_added,crossing_cuts_upgraded,subset_row_cuts_added,lm_rank1_cuts_added,robust_capacity_cuts_added,resource_lower_bound_cuts_added,schedule_subset_cost_cuts_added,schedule_pair_conflict_cuts_added,schedule_clique_conflict_cuts_added,schedule_route_set_packing_cuts_added,schedule_nogood_cuts_added,schedule_capacity_cuts_added,schedule_pack_diagnostic_status,schedule_pack_diagnostic_objective,schedule_pack_diagnostic_gap_vs_root,schedule_pack_diagnostic_columns,schedule_pack_diagnostic_candidate_routes,schedule_pack_diagnostic_generated_states,schedule_pack_diagnostic_time,schedule_pack_relaxation_calls,schedule_pack_relaxation_time,schedule_pack_relaxation_root_objective,schedule_pack_relaxation_best_objective,schedule_pack_relaxation_best_gap_vs_node,schedule_pack_relaxation_candidate_exact,schedule_pack_relaxation_full_exact,schedule_pack_relaxation_full_pricing_states,schedule_pack_relaxation_full_pricing_time,schedule_pack_relaxation_columns,schedule_pack_adaptive_decisions,schedule_pack_adaptive_runs,schedule_pack_adaptive_skips,schedule_pack_adaptive_easy_skips,schedule_pack_adaptive_bound_skips,route_enumeration_adaptive_decisions,route_enumeration_adaptive_runs,route_enumeration_adaptive_skips,route_enumeration_adaptive_easy_skips,cuts_purged,generated_routes,generated_columns,label_pops,generated_labels,cuts_added,root_relaxation,incumbent_node,log_path,instance_path,seed
bench_20_06,20,2,20,TIME_LIMIT,227.363742,,,227.22119,0.000627,227.223034,227.22119,227.249142,3609.938901,75,271,305,93,65,566,300,295,283,105,376.451081,20,1,400.386342,227.363742,227.082326,260,218,8,294,0,13,0,23,20,13,0,0,8,0,98,22,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,16,3174,6348,65605452,178168553,168,227.082326,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_20_06.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_20_06.json,20260511
bench_20_07,20,2,20,TIME_LIMIT,244.396062,,,229.597104,0.060553,229.597104,229.597104,229.597104,3610.783204,121,386,371,137,119,510,205,205,255,96,149.086566,8,0,167.593422,,229.597104,87,174,0,0,0,9,0,27,24,9,0,0,0,0,28,136,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,76,2934,5868,108163740,242244333,148,229.312403,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_20_07.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_20_07.json,20260511
bench_20_08,20,2,20,TIME_LIMIT,235.961604,,,235.88029,0.000345,235.88029,238.876228,238.876228,3606.940321,172,547,549,183,146,896,359,356,448,141,143.60296,10,0,178.184032,,235.700699,177,312,6,26,0,5,0,9,0,5,0,0,8,0,21,124,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,93,3983,7966,109676821,286922491,74,234.792078,27,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_20_08.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_20_08.json,20260511
bench_20_09,20,2,20,TIME_LIMIT,254.120967,,,242.678001,0.04503,242.688545,242.678001,242.678001,3600.329838,77,302,366,93,75,986,398,396,493,147,388.267774,20,0,378.173682,,242.453411,345,36,19,620,0,8,0,18,0,8,0,0,22,3,112,7,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,3903,7806,87118245,176303790,165,242.160818,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_20_09.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_20_09.json,20260511
bench_20_10,20,2,20,TIME_LIMIT,228.922442,,,228.465959,0.001994,228.663602,228.465959,228.465959,3602.625155,82,335,376,98,69,686,251,251,343,108,231.28708,16,1,304.573597,228.922442,228.185935,199,322,6,70,0,5,0,33,0,5,0,0,6,0,56,36,0,,,,0,0,0,0.0,0,0.0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33,3675,7350,93412598,239805499,103,228.185935,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260522_restore_best_356s_10_all_20_01_05/bench_20_10.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_20_10.json,20260511
