instance,task_count,vehicle_count,sortie_count,status,primal_bound,dual_bound,gap,diagnostic_dual_bound,diagnostic_gap,best_open_node_bound,pending_node_bound,last_certified_node_bound,solving_time,node_count,rmp_solves,pricing_calls,exact_pricing_calls,branch_nodes,branch_lp_test_rmp_solves,branch_heuristic_test_rmp_solves,branch_heuristic_test_pricing_calls,branch_lp_candidates_tested,branch_heuristic_candidates_tested,branch_testing_time,restricted_master_integer_calls,restricted_master_integer_feasible,restricted_master_integer_time,restricted_master_integer_best_objective,restricted_master_integer_raw_best_objective,restricted_master_integer_rejected,restricted_master_integer_no_good_cuts,restricted_master_integer_pair_conflict_cuts,restricted_master_integer_route_set_packing_cuts,restricted_master_integer_schedule_capacity_cuts,crossing_cuts_added,crossing_cuts_upgraded,subset_row_cuts_added,robust_capacity_cuts_added,resource_lower_bound_cuts_added,schedule_subset_cost_cuts_added,schedule_pair_conflict_cuts_added,schedule_clique_conflict_cuts_added,schedule_route_set_packing_cuts_added,schedule_nogood_cuts_added,schedule_capacity_cuts_added,cuts_purged,generated_routes,generated_columns,label_pops,generated_labels,cuts_added,root_relaxation,incumbent_node,log_path,instance_path,seed
bench_20_02,20,2,20,TIME_LIMIT,231.664103,,,229.371345,0.009897,229.371345,229.371345,229.371345,3600.356702,98,369,419,119,82,1012,348,348,506,147,297.412711,20,0,403.152325,,229.371345,295,526,0,60,0,10,0,17,10,0,0,0,1,93,37,0,26,4335,8670,83721973,226476476,132,228.655122,18,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260521_112737_bpc_clean_subsetrow_only_20_02_03/bench_20_02.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_20_02.json,20260511
bench_20_03,20,2,20,TIME_LIMIT,245.5914,,,233.013121,0.051216,233.013121,233.015608,233.015608,3609.951427,135,436,456,146,133,1090,365,365,545,165,172.17623,17,0,342.038877,,233.079507,191,350,12,18,0,11,0,43,11,0,0,12,1,23,107,0,93,3839,7678,101992487,271598228,104,231.701368,0,/home/kai/work/gnn_bb/branchpricecut/results/logs/20260521_112737_bpc_clean_subsetrow_only_20_02_03/bench_20_03.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/benchmark/20260513_224021_benchmark_10_20_30/instances/instance_bench_20_03.json,20260511
