instance,task_count,vehicle_count,sortie_count,status,primal_bound,dual_bound,gap,solving_time,node_count,rmp_solves,pricing_calls,exact_pricing_calls,branch_nodes,branch_lp_test_rmp_solves,branch_heuristic_test_rmp_solves,branch_heuristic_test_pricing_calls,branch_lp_candidates_tested,branch_heuristic_candidates_tested,branch_testing_time,restricted_master_integer_calls,restricted_master_integer_feasible,restricted_master_integer_time,restricted_master_integer_best_objective,restricted_master_integer_raw_best_objective,restricted_master_integer_rejected,restricted_master_integer_no_good_cuts,crossing_cuts_added,crossing_cuts_upgraded,robust_capacity_cuts_added,resource_lower_bound_cuts_added,schedule_nogood_cuts_added,schedule_capacity_cuts_added,cuts_purged,generated_routes,generated_columns,label_pops,generated_labels,cuts_added,root_relaxation,incumbent_node,log_path,instance_path,seed
bench_20_02,20,2,20,TIME_LIMIT,329.371345,,,3671.664963,47,140,180,57,46,390,183,176,195,60,225.071826,20,0,360.168853,,229.371345,349,682,10,0,10,0,710,0,0,2711,5422,132062030,184746010,720,228.39887,20,/home/kai/work/gnn_bb/branchpricecut/results/logs/bpc_clean_boost_dominance_20260519_bench_20_02_03/bench_20_02.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/fleet_sensitivity_20_01_02/instances_tight/instance_bench_20_02.json,20260511
bench_20_03,20,2,20,TIME_LIMIT,333.007621,,,3608.683322,122,342,384,126,121,1384,445,444,692,207,257.422735,20,0,400.26919,,233.802083,96,192,8,0,8,0,256,0,5,4147,8294,124274786,263303192,259,230.564696,46,/home/kai/work/gnn_bb/branchpricecut/results/logs/bpc_clean_boost_dominance_20260519_bench_20_02_03/bench_20_03.jsonl,/home/kai/work/gnn_bb/branchpricecut/results/fleet_sensitivity_20_01_02/instances_tight/instance_bench_20_03.json,20260511
