matrix_group,source_json,instance_id,phase,round,variant,formulation_kind,row_count_added,var_count_before,var_count_after,constraint_count_before,constraint_count_after,arc_options_removed,slot_count_before,slot_count_after,compact_pricing_status,compact_pricing_exact_status,compact_pricing_best_rc,compact_pricing_dual_bound,compact_pricing_gap,mip_nodes,simplex_iterations,wall_time,negative_found,negative_rc,negative_column_count,new_negative_columns_found,cut_candidate_count,cut_violated_count,max_violation,active_column_count,pool_column_count,columns_added,active_columns_after_merge,can_certify_no_negative,certificate_scope,pricing_complete_by_compact_milp,negative_feasibility_search_enabled,mtz_endpoint_order_cuts_enabled,mtz_endpoint_order_cut_count,pair_adjacency_cuts_enabled,pair_adjacency_cut_count,sortie_slots_per_journey,sortie_slot_bound_source,latest_service_start_slot_bound_enabled,sortie_slot_horizon_count_bound,sortie_slot_latest_start_count_bound,time_window_arc_pruning_enabled,time_window_arc_option_count,time_window_impossible_arc_option_count,restricted_negative_feasibility_claimed_certificate,positive_incumbent_rc_claimed_certificate
30-scale B4D formulation matrix smoke 3s,/home/kai/work/GAT_BPC_moonTerk/runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,negative_feasibility,3,V0_current_compact_pricing,baseline_no_endpoint_pair_latest_timewindow,0,,69331,,72420,0,30,30,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,NOT_SOLVED,,,,0,0,5.078425,False,,0,0,,,,,,0,297,False,DIAGNOSTIC_PRICING_FRONTIER,False,True,False,0,False,0,30,task_count_bound,False,30,21,False,2247,0,False,False
30-scale B4D formulation matrix smoke 3s,/home/kai/work/GAT_BPC_moonTerk/runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,negative_feasibility,3,V1_endpoint_order_plus_pair_adjacency,endpoint_order+pair_adjacency,17190,,70231,,154680,0,30,30,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,NOT_SOLVED,,,,0,0,9.184051,False,,0,0,,,,,,0,297,False,DIAGNOSTIC_PRICING_FRONTIER,False,True,True,4140,True,13050,30,task_count_bound,False,30,21,False,2247,0,False,False
30-scale B4D formulation matrix smoke 3s,/home/kai/work/GAT_BPC_moonTerk/runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,negative_feasibility,3,V2_latest_service_start_slot_bound,latest_service_start_slot_bound,0,,48532,,50703,0,30,21,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,NOT_SOLVED,,,,0,0,4.30061,False,,0,0,,,,,,0,297,False,DIAGNOSTIC_PRICING_FRONTIER,False,True,False,0,False,0,21,latest_service_start_min_active_sortie_duration_bound,True,30,21,False,2247,0,False,False
30-scale B4D formulation matrix smoke 3s,/home/kai/work/GAT_BPC_moonTerk/runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,negative_feasibility,3,V3_time_window_arc_pruning,time_window_arc_pruning,0,,33541,,36630,1193,30,30,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,NOT_SOLVED,,,,0,0,4.035932,False,,0,0,,,,,,0,297,False,DIAGNOSTIC_PRICING_FRONTIER,False,True,False,0,False,0,30,task_count_bound,False,30,21,True,2247,1193,False,False
30-scale B4D formulation matrix smoke 3s,/home/kai/work/GAT_BPC_moonTerk/runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,negative_feasibility,3,V4_combined_endpoint_pair_latest_start_time_window,endpoint_order+pair_adjacency+latest_service_start_slot_bound+time_window_arc_pruning,10941,,24109,,57087,1193,30,21,COMPACT_HIGHS_PRICING_TIME_LIMIT_REACHED,NOT_SOLVED,,,,0,0,3.70992,False,,0,0,,,,,,0,297,False,DIAGNOSTIC_PRICING_FRONTIER,False,True,True,2898,True,8043,21,latest_service_start_min_active_sortie_duration_bound,True,30,21,True,2247,1193,False,False
30-scale B4D formulation matrix smoke 3s,/home/kai/work/GAT_BPC_moonTerk/runs/objective_normalized_cost_risk_completion_full/compact_pricing_replay_plus57_stage001_round3_negative_feas_mtz_endpoint_pair_600s/plus57_stage001_plus_replay_probe.json,lunar_ice_sp50_030_001_seed929001,staged_frontier_active_pool_subset_row_probe,,V5_subset_row_master_diagnostic_only,master_subset_row_restricted_active_pool,0,,,,,,,,,,,,,,,,False,,0,0,10,0,0.0,297,297,0,297,False,DIAGNOSTIC_PRICING_FRONTIER,False,,,,,,,,,,,,,,False,False
